USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
10150,99999,HEKKINGEN FYR,NO,,,+69.600,+017.833,+0014.0,19800314,20181010
10160,99999,KONGSOYA,NO,,,+78.933,+028.900,+0020.0,19930501,20181010
10170,99999,AKSELOYA,SV,,,+77.683,+014.783,+0006.0,19730101,20181010
10190,99999,SVARTTANGEN,NO,,,+77.517,+020.817,+0020.0,20100825,20140523
10200,99999,SORKAPPOYA,SV,,,+76.483,+016.550,+0010.0,20101008,20181010
10230,99999,BARDUFOSS,NO,,ENDU,+69.056,+018.540,+0076.8,19400713,20181010
10231,99999,DRAUGEN,NO,,ENDR,+64.350,+007.800,+0000.0,20040510,20181010
10240,99999,PYRAMIDEN,NO,,,+78.650,+016.367,+0020.0,19730101,20181010
10250,99999,TROMSO,NO,,ENTC,+69.683,+018.919,+0009.4,19730101,20181010
10260,99999,TROMSO,NO,,,+69.650,+018.933,+0114.5,19970201,20181010
10270,99999,TROMSO-HOLT,NO,,,+69.650,+018.900,+0020.0,20110928,20181010
10280,99999,BJORNOYA ISLAND,NO,,ENBJ,+74.517,+019.017,+0018.0,19310103,20181010
10300,99999,KISTEFJELL,NO,,,+69.283,+018.133,+0982.0,19510101,20181010
10303,99999,TROMSO/SKATTURA,NO,,,+69.700,+019.017,+0014.0,20140522,20150108
10320,99999,OVERBYGD,NO,,,+69.017,+019.283,+0078.0,19730101,20140523
10330,99999,TORSVAG FYR,NO,,,+70.250,+019.500,+0024.0,19730101,20181010
10340,99999,FUGLOYKALVEN FYR,NO,,,+70.317,+020.150,+0038.0,19871202,20140523
10350,99999,LYNGEN GJERDVASSBU,NO,,,+69.567,+020.100,+0710.0,19730101,20181010
10360,99999,NORDNESFJELLET,NO,,,+69.567,+020.433,+0710.0,20040510,20181010
10370,99999,SKIBOTN 2,NO,,,+69.383,+020.283,+0020.0,19730101,20181010
10400,99999,SKJERVOY,NO,,,+70.033,+020.983,+0015.0,19730101,19780927
10410,99999,NORDREISA-OYENG,NO,,,+69.733,+021.017,+0005.0,19730101,20140523
10420,99999,HASVIK-SLUSKFJELLET,NO,,,+70.600,+022.450,+0438.0,20080917,20181010
10430,99999,ROGNSUNDET,NO,,,+70.417,+022.817,+0010.0,19730101,20181010
10435,99999,HASVIK,NO,,,+70.483,+022.150,+0007.0,19750515,20081230
10440,99999,HASVIK,NO,,ENHK,+70.487,+022.140,+0006.4,20090101,20181010
10450,99999,NORDSTRAUM I KVAENANGEN,NO,,,+69.833,+021.883,+0006.0,19730101,20181010
10455,99999,,,,,,,,19741117,19750904
10460,99999,SORKJOSEN,NO,,ENSR,+69.787,+020.959,+0004.9,19750905,20181010
10470,99999,KAUTOKEINO II,NO,,ENKA,+69.017,+023.067,+0307.0,19730101,20181010
10490,99999,ALTA,NO,,ENAT,+69.976,+023.372,+0002.7,19730101,20181010
10510,99999,SUOLOVUOPMI,NO,,,+69.583,+023.533,+0374.0,19730102,20140523
10520,99999,HAMMERFEST AP,NO,,ENHF,+70.683,+023.683,+0081.0,19401008,20181010
10530,99999,HAMMERFEST RADIO,NO,,,+70.683,+023.683,+0070.0,19730101,19871226
10550,99999,FRUHOLMEN FYR,NO,,,+71.100,+023.983,+0014.2,19310101,20181010
10570,99999,CUOVDDATMOHKKI,NO,,,+69.367,+024.433,+0286.0,19730101,20181010
10580,99999,SUOLOVUOPMI LULIT,NO,,,+69.567,+023.533,+0381.0,20050218,20181010
10590,99999,BANAK,NO,,ENNA,+70.069,+024.973,+0007.6,19730101,20181010
10610,99999,BRENNELV,NO,,,+70.067,+025.117,+0034.0,19730101,19840707
10617,99999,OSEBERG,NO,,,,,,19890101,19901001
10620,99999,HOPEN ISLAND,NO,,ENHO,+76.500,+025.067,+0010.0,19550101,20181010
10630,99999,KISTRAND III,NO,,,+70.450,+025.217,+0006.0,19730101,19870715
10650,99999,KARASJOK,NO,,,+69.467,+025.517,+0133.0,19730101,20181010
10660,99999,HELNES FYR,NO,,,+71.067,+026.233,+0033.0,19730101,20040619
10670,99999,LEVAJOK-EVJEN,NO,,,+69.900,+026.417,+0112.0,19730103,19820924
10671,99999,LEVAJOK-EVJEN,NO,,,+69.900,+026.417,+0112.0,20070307,20070307
10680,99999,HONNINGSVAG/VALAN,NO,,ENHV,+71.017,+025.983,+0014.0,19800604,20181010
10720,99999,,,,,,,,19740227,19740227
10740,99999,MEHAMN,NO,,ENMH,+71.033,+027.833,+0013.0,19750905,20181010
10750,99999,RUSTEFJELBMA,NO,,,+70.400,+028.200,+0011.2,19730101,20130531
10760,99999,TANABRU,NO,,,+70.217,+028.167,+0032.0,20121121,20181010
10780,99999,SLETTNES FYR,NO,,,+71.100,+028.233,+0010.0,19730101,20181010
10820,99999,NYRUD,NO,,,+69.150,+029.250,+0056.0,19730919,20181010
10830,99999,BERLEVAG,NO,,ENBV,+70.867,+029.033,+0013.0,19750905,20181010
10840,99999,PASVIK,NO,,,+69.450,+030.033,+0027.0,19730101,20181010
10850,99999,BUGOYFJORD,NO,,,+69.850,+029.417,+0008.0,19730101,19781008
10860,99999,BATSFJORD,NO,,ENBS,+70.600,+029.693,+0149.4,20090101,20181010
10875,99999,HEIMDAL OIL PLATFORM,NO,,ENHM,+59.567,+002.217,+0090.0,20110101,20181010
10876,99999,NORNE OIL PLATFORM,NO,,ENNE,+66.017,+008.083,+0090.0,20110101,20181010
10877,99999,TROLL A  OIL PLATFORM,NO,,ENQA,+60.633,+003.717,+0090.0,20110101,20181010
10878,99999,SNORRE A  OIL PLATFORM,NO,,ENSE,+61.450,+002.133,+0090.0,20110101,20181010
10879,99999,SNORRE B  OIL PLATFORM,NO,,ENQR,+61.533,+002.200,+0090.0,20110101,20181010
10880,99999,VADSO,NO,,ENVD,+70.067,+029.850,+0039.0,19750905,20181010
10881,99999,NARVIK III/FRAMNES,NO,,,+68.467,+017.500,+0023.0,20050405,20081231
10882,99999,ROROS,NO,,ENRO,+62.578,+011.342,+0626.1,20050405,20181010
10883,99999,SANDANE/ANDA,NO,,,+61.833,+006.117,+0060.0,20050405,20081231
10884,99999,GEITERYGGEN,NO,,ENSN,+59.185,+009.567,+0141.1,20050405,20151109
10885,99999,BATSFJORD,NO,,,+70.600,+029.733,+0153.0,19940718,20081231
10886,99999,SLEIPNER A OIL PLATFORM,NO,,ENSL,+58.367,+001.900,+0030.0,20050405,20181010
10887,99999,TROLL C OIL PLATFORM,NO,,ENQC,+60.886,+003.610,+0020.0,20110512,20181010
10890,99999,HOYBUKTMOEN,NO,,ENKR,+69.726,+029.893,+0086.3,19401101,20181010
10920,99999,MAKKAUR FYR,NO,,,+70.700,+030.083,+0009.0,19730101,20181010
10970,99999,SVARTNES,NO,,,+70.350,+031.050,+0012.0,19930209,20081231
10980,99999,VARDO,NO,,,+70.367,+031.100,+0015.0,19310103,20181010
10985,99999,,,,,,,,19741117,19750904
10986,99999,,,,,,,,19741117,19750904
10987,99999,,,,,,,,19741117,19750904
10990,99999,VARDO AP / SVARTNES,NO,,ENSS,+70.355,+031.045,+0012.8,20090101,20181010
11010,99999,BOGUS NORWEGIAN,NO,,,,,,19851202,20070307
11020,99999,SKLINNA FYR,NO,,,+65.200,+011.000,+0016.0,19750228,20181010
11025,99999,HEIDRUN,NO,,ENHE,+65.333,+007.317,+0080.0,19990424,20181010
11030,99999,LEKA,NO,,,+65.100,+011.700,+0047.0,19730101,20070307
11040,99999,ROTVAER,NO,,,+68.367,+015.950,+0008.0,20070605,20080817
11050,99999,ROTVAER,NO,,,+68.367,+015.950,+0008.0,19730101,20181010
11051,99999,SKOMVAER (LGT-H),NO,,,+67.417,+011.883,+0018.0,20070307,20070307
11060,99999,ROEST III,NO,,,+67.517,+012.100,+0002.0,19280101,20081204
11070,99999,ROST (NOR-AFB),NO,,ENRS,+67.517,+012.100,+0004.0,19880303,20181010
11080,99999,VEGA-VALLSJO,NO,,,+65.700,+011.850,+0009.1,19910801,20181010
11090,99999,SKALVAER,NO,,,+65.867,+012.183,+0006.0,19730101,19800910
11100,99999,YTTERHOLMEN FYR,NO,,,+66.000,+011.683,+0033.0,19961201,20050319
11110,99999,BRONNOYSUND,NO,,,+65.467,+012.217,+0005.0,19730116,20070307
11120,99999,BRONNOY,NO,,ENBN,+65.461,+012.218,+0007.6,19730101,20181010
11130,99999,GLOMFJORD,NO,,,+66.800,+013.983,+0039.0,20040406,20091216
11133,99999,DAGALI,NO,,ENDI,+60.417,+008.513,+0798.0,19860509,20030427
11140,99999,REIPA,NO,,,+66.900,+013.633,+0008.0,20090702,20181010
11150,99999,MYKEN,NO,,,+66.767,+012.483,+0013.0,19730101,20181010
11160,99999,STOKKA,NO,,ENST,+65.950,+012.467,+0017.1,19730401,20181010
11170,99999,TJOTTA,NO,,,+65.817,+012.417,+0021.0,20040119,20181010
11210,99999,SOLVAER III,NO,,,+66.367,+012.617,+0010.0,19730101,20181010
11220,99999,KJAERSTAD,NO,,ENMS,+65.784,+013.215,+0072.2,19881014,20181010
11240,99999,SNASA,NO,,,+64.167,+012.467,+0195.0,20050218,20181010
11310,99999,GLAPEN LIGHTHOUSE,NO,,,+67.883,+013.050,+0031.0,19730101,19850625
11320,99999,MAJAVATN V,NO,,,+65.167,+013.367,+0319.0,20080229,20181010
11330,99999,LAKSFORS,NO,,,+65.617,+013.283,+0050.0,20111129,20181010
11340,99999,MAJAVATN III,NO,,,+65.183,+013.417,+0339.0,19730101,20070630
11350,99999,SELJELIA,NO,,,+66.117,+013.583,+0123.0,20111129,20181010
11370,99999,STOTT,NO,,,+66.933,+013.450,+0012.0,19730806,20070307
11380,99999,TENNHOLMEN (LGT-H),NO,,,+67.300,+013.500,+0014.0,19850912,20070307
11390,99999,VAEROY HELIPORT,NO,,ENVR,+67.650,+012.717,+0004.0,20110928,20181010
11410,99999,LEKNES,NO,,ENLK,+68.150,+013.617,+0026.0,19730620,20181010
11430,99999,DRAG-AJLUOKTA,NO,,,+68.050,+016.083,+0019.0,20070806,20180917
11440,99999,HELLIGVAER II,NO,,,+67.400,+013.883,+0024.0,20050315,20181010
11450,99999,KVALNES I LOFOTEN,NO,,,+68.350,+013.967,+0015.0,19730101,19820504
11460,99999,SKAMDAL,NO,,,+66.233,+013.883,+0005.0,19730101,20181010
11470,99999,VARNTRESK,NO,,,+65.833,+014.183,+0406.0,19400907,20181010
11480,99999,STORFORSHEI,NO,,,+66.383,+014.517,+0110.0,20110616,20181010
11490,99999,RANA-BASMOEN,NO,,,+66.333,+014.100,+0042.0,19730101,20070228
11500,99999,HJARTASEN,NO,,,+66.500,+014.950,+0251.0,19730103,20181010
11501,99999,HATTFJELLDAL-KRUTA,NO,,,+65.683,+014.167,+0385.0,20020312,20020312
11505,99999,,,,,,,,19751101,19751130
11510,99999,MOIRANA,NO,,ENRA,+66.367,+014.300,+0070.0,19730401,20181010
11520,99999,BODO,NO,,ENBO,+67.269,+014.365,+0012.8,19400917,20181010
11530,99999,BODO-VAGONES,NO,,,+67.283,+014.450,+0033.0,20111003,20140611
11540,99999,LITLOY FYR,NO,,,+68.583,+014.300,+0030.0,19940406,20170801
11550,99999,BO I VESTERALEN II,NO,,,+68.633,+014.467,+0012.0,19730101,20041201
11560,99999,BO I VESTERALEN,NO,,,+68.600,+014.433,+0007.6,20040510,20181010
11580,99999,SETSA,NO,,,+67.167,+015.483,+0008.0,20100114,20181010
11600,99999,SKROVA FYR,NO,,,+68.150,+014.650,+0011.0,19730101,20181010
11610,99999,SVOLVAER/HELLE,NO,,ENSH,+68.250,+014.667,+0009.0,19730620,20181010
11620,99999,STORKMARKNES/SKAGEN,NO,,ENSK,+68.583,+015.017,+0003.0,19730620,20181010
11630,99999,BOLNA,NO,,,+66.500,+015.250,+0549.0,19730101,19770823
11650,99999,GROTOY,NO,,,+67.833,+014.783,+0006.0,19730101,19781031
11670,99999,SORTLAND,NO,,,+68.700,+015.417,+0003.0,19850201,20181010
11680,99999,KLEIVA I SORTLAND,NO,,,+68.650,+015.283,+0023.0,19730101,20060611
11690,99999,SALTDAL-NORDNES,NO,,,+66.933,+015.317,+0037.0,19830101,20181010
11691,99999,OVRE SALTDAL,NO,,,+66.967,+015.317,+0026.0,19730101,19781008
11700,99999,FAUSKE-VETEN,NO,,,+67.233,+015.317,+0165.0,19730101,19900307
11720,99999,FINNOY I HAMAROY,NO,,,+68.000,+015.617,+0053.0,19730101,20060311
11730,99999,,,,,,,,19730101,19730731
11751,99999,LODINGEN,NO,,,+68.400,+016.000,+0010.0,20040108,20040108
11760,99999,KONGSVIK,NO,,,+68.567,+016.267,+0025.0,19730101,19780118
11800,99999,HARSTAD,NO,,,+68.800,+016.533,+0045.0,20040510,20181010
11820,99999,EVENSKJER,NO,,,+68.583,+016.583,+0007.0,19730101,19851119
11830,99999,EVENES,NO,,ENEV,+68.491,+016.678,+0025.6,19750905,20181010
11840,99999,SANDSOY I SENJA,NO,,,+68.933,+016.683,+0045.0,19730101,19780613
11841,99999,SANDSOY,NO,,,+68.933,+016.683,+0045.0,20070307,20070307
11890,99999,LILAND,NO,,,+68.483,+016.883,+0019.0,19730102,20050302
11895,99999,,,,,,,,19731008,19750904
11910,99999,SKJOMEN-SLETTJORD,NO,,,+68.283,+017.317,+0006.0,19730101,19961104
11920,99999,STRAUMSNES,NO,,,+68.417,+017.650,+0200.0,20110203,20181010
11930,99999,NARVIK III/FRAMNES,NO,,ENNK,+68.467,+017.500,+0023.0,20010706,20170403
11940,99999,NARVIK III,NO,,ENNK,+68.467,+017.500,+0023.0,19730101,20050405
11960,99999,TENNEVOLL,NO,,,+68.750,+017.817,+0021.0,19730101,20020808
11980,99999,DIVIDALEN II,NO,,,+68.783,+019.700,+0204.0,20100114,20181010
11990,99999,SIHCCAJAVRI,NO,,,+68.750,+023.533,+0382.0,19490101,20181010
12030,99999,KRAKENES,NO,,,+62.033,+004.983,+0041.0,19310904,20181010
12050,99999,SVINOY LH,NO,,,+62.333,+005.267,+0037.2,19730101,20181010
12070,99999,FISKABYGD,NO,,,+62.100,+005.583,+0041.0,20040510,20180630
12090,99999,ORSTA-VOLDA/HOVDEN,NO,,ENOV,+62.183,+006.067,+0074.0,19841211,20181010
12091,99999,ORSTA-VOLDA/HOVD,NO,,ENOV,+62.183,+006.050,+0074.0,19840910,19841127
12100,99999,VIGRA,NO,,ENAL,+62.560,+006.110,+0021.0,19730101,20181010
12120,99999,ONA II,NO,,,+62.867,+006.533,+0015.0,19550101,20181010
12140,99999,REKDAL,NO,,,+62.650,+006.767,+0043.0,20090112,20181010
12150,99999,HJELVIK MYRBO,NO,,,+62.620,+007.230,+0035.0,19730101,20090630
12160,99999,HJELVIK I ROMSDAL,NO,,,+62.617,+007.217,+0016.0,19731226,20020527
12161,99999,GJERMUNDNES,NO,,,+62.617,+007.167,+0049.0,20040412,20040412
12170,99999,ARO,NO,,ENML,+62.745,+007.263,+0003.0,19760201,20181010
12180,99999,TAFJORD,NO,,,+62.233,+007.417,+0017.0,19730101,20181010
12200,99999,MANNEN,NO,,,+62.450,+007.767,+1294.0,20100315,20181010
12210,99999,TAGDALEN,NO,,,+63.050,+009.083,+0415.0,20080115,20181010
12220,99999,,,,,,,,19730101,19751231
12230,99999,KVERNBERGET,NO,,ENKB,+63.112,+007.825,+0062.2,19730101,20181010
12240,99999,AALESUND,NO,,,+62.467,+006.217,+0050.0,19841201,20181010
12250,99999,VEIHOLMEN,NO,,,+63.517,+007.950,+0005.0,19730101,20181010
12270,99999,INNERDALEN,NO,,,+62.717,+008.783,+0405.0,19730101,20181010
12273,99999,TINGVOLL-HANEM,NO,,,+62.833,+008.300,+0069.0,20150108,20150108
12280,99999,SULA,NO,,,+63.850,+008.467,+0006.0,19730101,20181010
12300,99999,BJORLI,NO,,,+62.267,+008.200,+0579.0,19730101,20181010
12310,99999,LESJASKOG,NO,,,+62.233,+008.367,+0621.0,19771030,20080731
12320,99999,VINJEORA II,NO,,,+62.450,+007.850,+0067.0,19730101,20181010
12330,99999,DOMBAAS,NO,,,+62.083,+009.117,+0638.0,20061121,20181010
12340,99999,ORKDAL-THAMSHAMN,NO,,,+63.317,+009.850,+0004.0,20061121,20181010
12350,99999,DOMBAS-KIRKENAER,NO,,,+62.083,+009.133,+0645.0,19360101,19760602
12360,99999,KJOREMSGRENDE,NO,,,+62.100,+009.050,+0626.0,20050218,20100104
12370,99999,HITRA,NO,,,+63.517,+009.117,+0013.0,20050402,20181010
12380,99999,FOKSTUA II,NO,,,+62.117,+009.283,+0974.0,19730101,20181010
12390,99999,HJERKINN II,NO,,,+62.217,+009.550,+1012.0,20100907,20181010
12400,99999,HALTEN FYR,NO,,,+64.167,+009.400,+0016.0,19850110,20180722
12410,99999,ORLAND,NO,,ENOL,+63.699,+009.604,+0008.5,19730101,20181010
12420,99999,AFJORD II,NO,,,+63.967,+010.217,+0030.0,20080115,20181010
12430,99999,SONGLI,NO,,,+63.333,+009.650,+0300.0,19730101,19761119
12450,99999,OPPDAL-SETER,NO,,,+62.600,+009.667,+0606.0,19760201,20181010
12480,99999,VALLERSUND,NO,,,+63.850,+009.733,+0004.0,19730101,19751219
12500,99999,FOLLDAL-FREDHEIM,NO,,,+62.133,+010.000,+0694.0,20110928,20181010
12520,99999,BERKAK-LYNGHOLT,NO,,,+62.817,+010.017,+0475.0,19730101,20080930
12530,99999,SOKNEDAL,NO,,,+62.950,+010.183,+0299.0,20090112,20181010
12540,99999,KOTSOY,NO,,,+62.983,+010.550,+0127.0,20090112,20181010
12570,99999,TRONDHEIM/VOLL,NO,,,+63.417,+010.450,+0131.5,20040406,20181010
12580,99999,TRONDHEIM (TYHOLT),NO,,,+63.417,+010.433,+0113.0,19730101,19810714
12590,99999,BUHOLMRASA LH,NO,,,+64.400,+010.450,+0018.4,19730101,20181010
12620,99999,NORDOYAN FYR,NO,,,+64.800,+010.550,+0033.0,19280102,20180731
12650,99999,TYNSET-HANSMOEN,NO,,,+62.267,+010.733,+0482.3,19490101,20181010
12680,99999,,,,,,,,19730101,19750125
12700,99999,KVITHAMAR,NO,,,+63.483,+010.883,+0040.0,20111003,20181010
12710,99999,VAERNES,NO,,ENVA,+63.458,+010.940,+0017.1,19400413,20181010
12720,99999,FROSTA,NO,,,+63.567,+010.700,+0070.0,20110929,20181010
12730,99999,SELBU,NO,,,+63.233,+011.017,+0160.0,20071016,20181010
12740,99999,SELBU-STUBBE,NO,,,+63.200,+011.117,+0242.0,19730101,20061115
12770,99999,STEINKJER,NO,,,+64.017,+011.450,+0080.0,19730101,20181010
12771,99999,LEVANGER-EGGEN,NO,,,+63.717,+011.233,+0097.0,19730101,19730216
12780,99999,VERDAL-REPPE,NO,,,+63.783,+011.683,+0083.0,19850102,20181010
12800,99999,NAMDALSEID-VENGSTAD,NO,,,+64.133,+011.333,+0118.0,19730101,20081231
12810,99999,NAMSSKOGAN,NO,,,+64.733,+012.850,+0140.0,20070105,20181010
12820,99999,RORVIK/RYUM,NO,,ENRM,+64.850,+011.233,+0014.0,19950901,20181010
12823,99999,RORVIK/RYUM,NO,,,+64.850,+011.233,+0014.0,19910827,19950831
12870,99999,SOLENDET,NO,,,+62.683,+011.817,+0747.0,20080115,20181010
12880,99999,ROROS,NO,,,+62.567,+011.383,+0630.0,19730101,20181010
12890,99999,ROROS LUFTHAVN,NO,,ENRO,+62.583,+011.350,+0626.0,19840909,20050405
12891,99999,ROROS/AIRPORT,NO,,ENRO,+62.583,+011.383,+0626.0,19790301,19840817
12900,99999,NAMSOS AIRPORT,NO,,ENNM,+64.467,+011.583,+0002.0,19730401,20181010
12910,99999,GARTLAND,NO,,,+64.533,+012.383,+0095.0,20090112,20181010
12920,99999,MERAKER-UTSYN,NO,,,+63.417,+011.700,+0240.0,19730101,20040930
12930,99999,MERAKER-EGGE,NO,,,+63.417,+011.733,+0171.0,20050215,20181010
12940,99999,,,,,,,,19730101,19740629
12950,99999,HOYLANDET,NO,,,+64.550,+012.150,+0027.0,19730101,20070612
12960,99999,BERG I SNASA,NO,,,+64.250,+012.417,+0127.0,19730101,19770606
12980,99999,NORDLI-HOLAND,NO,,,+64.450,+013.717,+0433.0,19730101,20181010
13000,99999,GULLFAKS C,NO,,,+61.200,+002.267,+0078.0,20010601,20181010
13005,99999,STATFJORD OIL PLATFORM HELIPORT,FO,,ENSF,+61.250,+001.850,+0117.7,19841204,20181010
13040,99999,YTTEROYANE FYR,NO,,,+61.567,+004.683,+0025.0,19840901,20181010
13060,99999,HELLISOY FYR,NO,,,+60.750,+004.717,+0023.0,19730101,20041229
13070,99999,FEDJE,NO,,,+60.750,+004.717,+0020.0,20050218,20181010
13080,99999,FURUNESET,NO,,,+61.300,+005.050,+0007.0,20110928,20181010
13090,99999,KINN ISLAND,NO,,,+61.567,+004.800,+0010.0,19310104,20051022
13100,99999,FLORO,NO,,ENFL,+61.584,+005.025,+0011.3,19800407,20181010
13110,99999,FLESLAND,NO,,ENBR,+60.293,+005.218,+0051.8,19730101,20181010
13140,99999,FOSSMARK,NO,,,+60.517,+005.717,+0010.0,20120615,20181010
13150,99999,EVANGER,NO,,,+60.633,+006.100,+0017.0,20101214,20181010
13160,99999,BERGEN-FREDRIKSBERG,NO,,,+60.400,+005.317,+0040.0,19730101,19851230
13170,99999,BERGEN/FLORIDA,NO,,,+60.383,+005.333,+0036.0,19730101,20181010
13180,99999,SANDANE,NO,,,+61.783,+006.183,+0051.0,20050614,20171231
13190,99999,TAKLE,NO,,,+61.033,+005.383,+0038.0,19730101,20181010
13200,99999,SANDANE/ANDA,NO,,ENSD,+61.833,+006.117,+0060.0,19810904,20181010
13210,99999,STRYN,NO,,,+61.900,+006.550,+0208.0,19730101,20181010
13220,99999,FORDE-TEFRE,NO,,,+61.467,+005.917,+0064.0,19730101,20171223
13230,99999,BRINGELAND,NO,,ENBL,+61.393,+005.764,+0327.0,19840502,20181010
13250,99999,MODALEN II,NO,,,+60.833,+005.950,+0114.0,19730101,20080924
13260,99999,MODALEN III,NO,,,+60.850,+005.983,+0125.0,20081008,20181010
13270,99999,KVAMSKOGEN-JONSHOGDI,NO,,,+60.383,+005.967,+0455.0,20061121,20181010
13280,99999,KVAMSKOGEN,NO,,,+60.400,+005.917,+0408.0,19730101,20060726
13290,99999,KVAMSOY,NO,,,+60.350,+006.267,+0050.0,20050218,20181010
13300,99999,OMASTRAND,NO,,,+60.217,+005.983,+0006.0,19730101,20050910
13320,99999,FJAERLAND BREMUSEET,NO,,,+61.430,+006.770,+0003.0,20060201,20181010
13340,99999,FJERLAND SKARESTAD,NO,,,+61.433,+006.767,+0010.0,20070413,20070413
13360,99999,BULKEN,NO,,,+60.650,+006.217,+0328.0,19730101,20181010
13370,99999,VOSSEVANGEN,NO,,,+60.633,+006.433,+0055.0,20050218,20181010
13380,99999,VANGSNES,NO,,,+61.167,+006.650,+0051.0,20040706,20181010
13390,99999,VANGSNES,NO,,,+61.167,+006.650,+0053.0,19730101,20011102
13400,99999,FET I EIDFJORD,NO,,,+60.420,+007.280,+0737.0,20050726,20181010
13410,99999,EIDFJORD-BU,NO,,,+60.467,+006.867,+0166.0,19830101,20070227
13420,99999,ULLENSVANG,NO,,,+60.317,+006.650,+0012.0,19730101,20181010
13440,99999,MJOLFJELL,NO,,,+60.700,+006.950,+0695.0,19730101,20181010
13450,99999,KLEVAVATNET,NO,,,+60.717,+007.217,+0960.0,19731007,20181010
13460,99999,MIDTSTOVA,NO,,,+60.650,+007.267,+1162.0,20111125,20181010
13470,99999,SOGNDAL HAUKASEN,NO,,ENSG,+61.156,+007.137,+0511.0,19850118,20181010
13471,99999,SOGNDAL/HAUKASEN,NO,,ENSG,+61.167,+007.133,+0498.0,19840801,19841217
13500,99999,FINSEVATN,NO,,,+60.600,+007.533,+1208.0,20030330,20181010
13510,99999,FINSE III,NO,,,+60.600,+007.500,+1224.0,19730102,20011210
13520,99999,SANDHAUG,NO,,,+60.183,+007.483,+1250.0,20040107,20181010
13550,99999,LAERDAL IV,NO,,,+61.100,+007.500,+0005.0,19730101,20181010
13560,99999,FANNARAKI,FO,,,+61.517,+007.900,+2062.0,19881125,20140827
13570,99999,HOLLEKOLTEN,NO,,,+60.867,+008.517,+0804.2,19730101,20181010
13580,99999,HEMSEDAL II,NO,,,+60.850,+008.600,+0604.0,20110929,20181010
13590,99999,GEILO-OLDEBRATEN,NO,,,+60.533,+008.200,+0773.0,19730101,20181010
13591,99999,HAUGASTOL,NO,,,+60.517,+007.867,+0988.0,20070307,20070307
13600,99999,BRATA-SLETTOM,NO,,,+61.900,+007.900,+0664.0,19730101,20181010
13610,99999,GROTLI III,NO,,,+62.017,+007.667,+0872.0,19730101,20181010
13620,99999,JUVVASSHOE,NO,,,+61.667,+008.367,+1894.0,20090626,20181010
13630,99999,,,,,,,,19730101,19740906
13640,99999,FILEFJELL,NO,,,+61.183,+008.117,+0955.1,19490101,20181010
13650,99999,BEITOSTOLEN II,NO,,,+61.251,+008.917,+0965.0,19730404,20181010
13660,99999,SOGNEFJELL,NO,,,+61.567,+008.000,+1413.0,19790301,20181010
13670,99999,FAGERNES,NO,,,+60.983,+009.217,+0365.4,19821001,20181010
